unit_id,build_date,production_line,shift,test_station,firmware_version,heart_rate_error_bpm,response_time_seconds,signal_quality_score,test_status,defect_category,rework_required
WHRM-00001,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,0.76,3.81,95.0,Pass,None,No
WHRM-00002,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,4.25,3.77,92.1,Pass,None,No
WHRM-00003,2026-07-01,Line A,Evening,TS-02,FW-SIM-0.2,3.42,5.0,94.4,Pass,None,No
WHRM-00004,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,1.93,4.11,94.2,Pass,None,No
WHRM-00005,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,0.91,5.18,89.0,Fail,Slow response time,Yes
WHRM-00006,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,2.86,5.62,94.4,Fail,Slow response time,Yes
WHRM-00007,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,2.17,5.38,89.0,Fail,Slow response time,Yes
WHRM-00008,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,4.16,4.15,90.1,Pass,None,No
WHRM-00009,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,1.81,4.11,84.3,Pass,None,No
WHRM-00010,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,2.86,4.23,90.4,Pass,None,No
WHRM-00011,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,1.94,3.97,84.2,Pass,None,No
WHRM-00012,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,1.38,3.84,84.1,Pass,None,No
WHRM-00013,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,5.07,4.03,98.8,Fail,High heart-rate error,Yes
WHRM-00014,2026-07-01,Line B,Evening,TS-01,FW-SIM-0.2,2.09,4.52,86.8,Pass,None,No
WHRM-00015,2026-07-01,Line C,Day,TS-01,FW-SIM-0.2,2.37,5.12,100.0,Fail,Slow response time,Yes
WHRM-00016,2026-07-01,Line A,Evening,TS-02,FW-SIM-0.2,0.1,4.76,91.3,Pass,None,No
WHRM-00017,2026-07-01,Line C,Evening,TS-01,FW-SIM-0.2,3.33,4.07,92.7,Pass,None,No
WHRM-00018,2026-07-01,Line C,Day,TS-03,FW-SIM-0.2,2.88,4.94,87.0,Pass,None,No
WHRM-00019,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,1.84,4.87,99.7,Pass,None,No
WHRM-00020,2026-07-01,Line C,Evening,TS-02,FW-SIM-0.2,0.46,4.72,84.0,Pass,None,No
WHRM-00021,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,3.7,4.37,90.5,Pass,None,No
WHRM-00022,2026-07-01,Line A,Evening,TS-02,FW-SIM-0.2,3.34,4.93,86.5,Pass,None,No
WHRM-00023,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,2.67,5.35,85.3,Fail,Slow response time,No
WHRM-00024,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,1.81,4.09,89.1,Pass,None,No
WHRM-00025,2026-07-01,Line C,Day,TS-03,FW-SIM-0.2,1.59,3.41,84.6,Pass,None,No
WHRM-00026,2026-07-01,Line C,Evening,TS-02,FW-SIM-0.2,2.79,4.19,87.1,Pass,None,No
WHRM-00027,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,2.91,3.05,89.1,Pass,None,No
WHRM-00028,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,2.89,4.26,94.6,Pass,None,No
WHRM-00029,2026-07-01,Line C,Day,TS-02,FW-SIM-0.2,3.81,4.38,81.7,Fail,Low signal quality,Yes
WHRM-00030,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,0.1,3.83,98.9,Pass,None,No
WHRM-00031,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,3.14,4.69,88.9,Pass,None,No
WHRM-00032,2026-07-01,Line C,Evening,TS-03,FW-SIM-0.2,0.83,4.37,80.9,Fail,Low signal quality,No
WHRM-00033,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,2.07,4.46,100.0,Pass,None,No
WHRM-00034,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,4.19,4.29,89.7,Pass,None,No
WHRM-00035,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,1.08,4.73,94.3,Pass,None,No
WHRM-00036,2026-07-01,Line B,Day,TS-01,FW-SIM-0.2,3.22,3.3,93.1,Pass,None,No
WHRM-00037,2026-07-01,Line C,Day,TS-03,FW-SIM-0.2,2.49,3.94,82.3,Pass,None,No
WHRM-00038,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,3.46,4.78,88.0,Pass,None,No
WHRM-00039,2026-07-01,Line C,Evening,TS-03,FW-SIM-0.2,4.67,5.16,84.8,Fail,Slow response time,Yes
WHRM-00040,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,0.9,3.76,85.1,Pass,None,No
WHRM-00041,2026-07-01,Line B,Evening,TS-03,FW-SIM-0.2,4.03,5.55,89.2,Fail,Slow response time,No
WHRM-00042,2026-07-01,Line C,Day,TS-03,FW-SIM-0.2,3.16,3.83,88.8,Pass,None,No
WHRM-00043,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,3.29,4.54,88.8,Pass,None,No
